"","s1","genes"
"GLRX",-0.0660104619648944,"GLRX"
"GPR137",-0.0661695785701195,"GPR137"
"TMEM167A",-0.257597051941807,"TMEM167A"
"FGFBP3",-0.0420878437555536,"FGFBP3"
"NR1D2",0.862464475193693,"NR1D2"
"CSRP2",0.0581693739517255,"CSRP2"
"RFESD",-0.115784070938733,"RFESD"
"ARL4D",0.0125726651823471,"ARL4D"
"RNPEP",-0.209531934619318,"RNPEP"
"ST8SIA3",0.943144056159083,"ST8SIA3"
"RPRM",0.359550421569862,"RPRM"
"PDE4DIP",0.159841333146485,"PDE4DIP"
"TMEM151B",0.411032978186236,"TMEM151B"
"GEN1",0.241866439175216,"GEN1"
"OPLAH",0.217292227151185,"OPLAH"
"EXOSC4",-0.149378503924909,"EXOSC4"
"SHARPIN",-0.0390296809239907,"SHARPIN"
"AKAP5",0.982034798608463,"AKAP5"
"TMEM64",-0.164705224109028,"TMEM64"
"CAPS2",0.891823765397064,"CAPS2"
"TRAPPC5",-0.0298741401145033,"TRAPPC5"
"PENK",0.307857933840926,"PENK"
"PLAG1",-0.875731554510692,"PLAG1"
"ZBTB20",0.0696720239919422,"ZBTB20"
"TMEM259",-0.21312149124288,"TMEM259"
"TSHZ2",-0.598632297321792,"TSHZ2"
"TSKU",-0.771678677754507,"TSKU"
"BEGAIN",0.285179355801083,"BEGAIN"
"ZDHHC23",1.63481087292445,"ZDHHC23"
"EFNA5",-0.24353206003064,"EFNA5"
"PLA2G6",-1.59371276888626,"PLA2G6"
"POU3F2",0.492557967167748,"POU3F2"
"ZFP1",-0.254549996180807,"ZFP1"
"SOCS3",-0.256078833357267,"SOCS3"
"RALYL",-0.0366905725191166,"RALYL"
"LRRC26",-0.147175896324715,"LRRC26"
"PURA",2.90987351178694,"PURA"
"ZBTB3",-0.75903763682865,"ZBTB3"
"PCYT2",-0.503085651850623,"PCYT2"
"THNSL1",-0.101117965882486,"THNSL1"
"RNPC3",0.37656993498209,"RNPC3"
"IRS2",0.0207954326031763,"IRS2"
"THBS2",0.912696724061607,"THBS2"
"KATNA1",0.102477175503426,"KATNA1"
"GTF2F2",-0.330746777292474,"GTF2F2"
"IER5L",-0.74044139689372,"IER5L"
"SPRED3",-1.6084811467324,"SPRED3"
"ADAT2",0.714010535365212,"ADAT2"
"RRP7A",-0.189951351918296,"RRP7A"
"INCA1",0.699107925791045,"INCA1"
"CACNA1H",-2.00581819027042,"CACNA1H"
"TCF4",0.0736681670110344,"TCF4"
"HRH1",-0.101655414793492,"HRH1"
"TLE1",-0.000747191652211095,"TLE1"
"PCBP2",-0.00635195093845892,"PCBP2"
"LRRC8B",0.343392686801153,"LRRC8B"
"SVIP",-0.270288242951418,"SVIP"
"TFDP1",-0.0126366392855644,"TFDP1"
