"","coefficient","gene"
"BTBD19",-0.0768474625344501,"BTBD19"
"HSBP1L1",0.280546655289599,"HSBP1L1"
"HCG11",-1.40099269908393,"HCG11"
"TMEM254-AS1",0.185165633198969,"TMEM254-AS1"
"MCTS1",-0.348006356204947,"MCTS1"
"SNHG7",-0.0883465604989698,"SNHG7"
"ANKRD65",2.30576720615737,"ANKRD65"
"ZSCAN31",0.0315221262365712,"ZSCAN31"
"ARHGDIG",0.268085195850436,"ARHGDIG"
"AP5Z1",-0.0161295491344741,"AP5Z1"
"TTC4",0.899951386928857,"TTC4"
"ZNF324B",-1.04489479647797,"ZNF324B"
"HS3ST5",-0.21336130875221,"HS3ST5"
"MALAT1",0.0815919863618192,"MALAT1"
"ZNF224",0.348166239186923,"ZNF224"
"EGLN2",0.507190916693233,"EGLN2"
"ZNF595",1.37807239396694,"ZNF595"
"TMEM54",0.0138557673073114,"TMEM54"
"DMGDH",0.333034953997515,"DMGDH"
"CCDC74B",-0.776621448443323,"CCDC74B"
"CYB5R2",-0.0580863947997268,"CYB5R2"
"ACY1",-0.156971538395699,"ACY1"
"HSPB6",0.555980721638534,"HSPB6"
"CYP2E1",0.582743049563129,"CYP2E1"
"MGARP",1.60258556363349,"MGARP"
"ZNF185",-1.25232824756627,"ZNF185"
"AMIGO2",-2.70810215134781,"AMIGO2"
"USP43",0.376057943954149,"USP43"
"IL34",0.819752528118071,"IL34"
"DYNLRB2",-0.198970725268978,"DYNLRB2"
"VMO1",2.84681860211222,"VMO1"
"ELF3",-1.95876147457271,"ELF3"
