"","s1","genes"
"PLXNA4",0.519720763571781,"PLXNA4"
"BTBD19",-0.52938341881887,"BTBD19"
"MCTS1",-0.0533378619440468,"MCTS1"
"ARHGDIG",0.165673090144784,"ARHGDIG"
"AP5Z1",-0.288300020517681,"AP5Z1"
"CCDC13",0.0404578162056452,"CCDC13"
"HS3ST5",-0.0742373352765928,"HS3ST5"
"RBM15B",-0.119152049918664,"RBM15B"
"ZNF595",0.167105992506779,"ZNF595"
"DACH1",-0.0218536538456358,"DACH1"
"DMGDH",0.395752553832002,"DMGDH"
"SLC47A1",0.232094447875764,"SLC47A1"
"CNGA3",-0.0101550401367337,"CNGA3"
"CYB5R2",-0.0173928870928329,"CYB5R2"
"LRRC10B",-0.516793604177163,"LRRC10B"
"ACY1",-0.346562993259255,"ACY1"
"GPR143",-0.222720617758422,"GPR143"
"PTGFR",-0.1227968664753,"PTGFR"
"AGT",0.803617189495684,"AGT"
"ZNF185",-0.0759388144674238,"ZNF185"
"SLC6A9",-0.0577775671774546,"SLC6A9"
"AMIGO2",-1.01570610338609,"AMIGO2"
"USP43",0.288276967048983,"USP43"
"LRP2",-0.236099800002149,"LRP2"
"BEST4",0.16116256610196,"BEST4"
"DOCK5",0.0102580991731834,"DOCK5"
"SLC18A2",-0.680371269836711,"SLC18A2"
"THNSL2",0.613030880736776,"THNSL2"
"MYOZ1",-0.148977545709515,"MYOZ1"
"C7orf57",-1.23717926547874,"C7orf57"
